Test,,Mcell,v_uptake,k_uptake,n_uptake,ntf,yield_S,v_synprot,k_synprot,k_fr,n_fr,fq,fr,fm,fh,k_ind,k_cm,v_uptake2,k_uptake2
scale1n2,0,416000000.0,232.29711433976487,15353.06098297994,1.0,1.0,0.083,1080.0,0.005008142743502838,0.10214548813675518,2.0,0.45,1.0,0.65,0.5,0.5,3.0,172.22382365809705,17484.065520331274
scale1n2,1,416000000.0,162.32592468591093,7456.581871105439,1.0,1.0,0.083,1080.0,0.0011731358279597624,0.02559582068708513,2.0,0.45,1.0,0.65,0.5,0.5,3.0,176.0314138510272,18776.776407336016
scale1n2,2,416000000.0,294.4954284212243,24687.13251491085,1.0,1.0,0.083,1080.0,0.004940527097948429,0.0846990942185395,2.0,0.45,1.0,0.65,0.5,0.5,3.0,180.69724603970505,18124.301122170174
scale1n2,3,416000000.0,306.33561538516943,26708.76912104055,1.0,1.0,0.083,1080.0,0.011764819777638888,0.2732783685157604,2.0,0.45,1.0,0.65,0.5,0.5,3.0,233.2069823601915,28379.826883733236
scale1n2,4,416000000.0,333.7715548719368,30937.411087675708,1.0,1.0,0.083,1080.0,0.00702210056537898,0.15881366405298958,2.0,0.45,1.0,0.65,0.5,0.5,3.0,222.38867905173598,26354.843568385542
