,x,x,R_frac,R_frac,H_frac,H_frac,mu,mu,syn_H,syn_H
494,1.142891416,1.139059808,0.10961607,0.124202962,0.004989301,0.235518021,0.000463501,0.000631885,4.65E-06,0.000596234
504,1.147602205,1.145500005,0.110172786,0.124957696,0.005014319,0.23969254,0.00041049,0.000562217,4.56E-06,0.000552211
514,1.15187831,1.151361525,0.110964394,0.125638833,0.005039635,0.243714288,0.000371229,0.000509095,4.40E-06,0.000526248
524,1.155707784,1.156566549,0.111714558,0.126248136,0.005067064,0.247512479,0.000331353,0.000450041,4.42E-06,0.00049121
534,1.159155364,1.16124835,0.112682939,0.126723744,0.005094966,0.251231481,0.000297422,0.00040317,4.31E-06,0.000473189
544,1.162208443,1.165580672,0.113841764,0.12713047,0.005122288,0.254717939,0.000262696,0.000371688,4.08E-06,0.000443321
554,1.164838536,1.169458965,0.114659836,0.127938292,0.005151445,0.258045495,0.00022579,0.000331631,4.08E-06,0.000418332
564,1.166903583,1.173077401,0.115212273,0.128601754,0.00518538,0.261040617,0.000176968,0.000308457,4.31E-06,0.000380032
574,1.168786106,1.17650733,0.11578545,0.129247687,0.005219542,0.263744862,0.000161067,0.000291535,4.26E-06,0.000347315
584,1.170318789,1.179663715,0.116424436,0.12998516,0.005255297,0.26634704,0.000130963,0.000267567,4.26E-06,0.000331483
594,1.17168513,1.182641908,0.116856392,0.130504268,0.005291468,0.268917471,0.000116613,0.000251825,4.23E-06,0.000324763
604,1.17302688,1.185551715,0.117221665,0.130625844,0.005325401,0.271289656,0.000114384,0.000245439,4.00E-06,0.000303804
614,1.174535622,1.188139462,0.117702588,0.13116931,0.005355957,0.273582064,0.000128454,0.000217798,3.74E-06,0.000288827
624,1.176210704,1.190412624,0.118345794,0.131762819,0.005386149,0.275846186,0.000142413,0.000190956,3.79E-06,0.000279087
634,1.178039667,1.192461337,0.118957658,0.132358055,0.005417183,0.277866106,0.000155255,0.000171805,3.94E-06,0.000249731
644,1.179704148,1.194206405,0.119577241,0.132817319,0.005446459,0.279781174,0.000141093,0.000146128,3.70E-06,0.000232391
654,1.181286389,1.195599649,0.120347164,0.13346188,0.005476368,0.28177799,0.000133942,0.000116531,3.72E-06,0.000232517
664,1.18286893,1.19690485,0.121056407,0.133860545,0.005503968,0.283581898,0.000133788,0.000109048,3.50E-06,0.000211315
674,1.184301622,1.19820745,0.121341818,0.134109054,0.005530381,0.285197192,0.000120974,0.000108712,3.31E-06,0.000192534
684,1.185735126,1.19945875,0.121449155,0.134396871,0.005554106,0.286663825,0.000120896,0.000104322,3.04E-06,0.000176569
694,1.187222588,1.20076369,0.121737518,0.134905939,0.005578102,0.287974134,0.000125289,0.000108676,3.10E-06,0.000162327
704,1.188774898,1.202107581,0.12186037,0.135543085,0.005602019,0.288912091,0.000130581,0.000111795,3.12E-06,0.000126095
714,1.190342474,1.203250237,0.122190876,0.135980833,0.005624095,0.289772132,0.000131691,9.50E-05,2.95E-06,0.000113522
724,1.191479816,1.204312986,0.122719481,0.136431738,0.005646475,0.290475719,9.55E-05,8.82E-05,2.78E-06,9.60E-05
734,1.191714172,1.205244361,0.123411334,0.13672953,0.005667739,0.291068089,1.97E-05,7.73E-05,2.24E-06,8.17E-05
744,1.191055614,1.20590147,0.124201135,0.137025807,0.005691199,0.291443478,-5.53E-05,5.45E-05,2.03E-06,5.34E-05
754,1.18912131,1.206567892,0.125340564,0.136976298,0.005716508,0.290769488,-0.000162667,5.52E-05,1.60E-06,-5.13E-05
