,x,x,R,R,H,H,mu,mu,syn_H,syn_H
164,0.2321416956438759,0.2142848839623568,0.1413334506775091,0.1514629006494622,0.0159946769908888,0.0666749207967033,0.008978101493297868,0.008322605057126465,1.6283945538593026e-07,0.001274368020308809
174,0.2562185978479617,0.2338942580176371,0.1328509821735765,0.1448829682704575,0.0146204747176461,0.0739549721356054,0.009397015831915859,0.008383862956482519,-3.139493242413911e-08,0.0013480334852256086
184,0.283566774799612,0.2555586849119279,0.124899300488343,0.1394280268117194,0.0133404074209552,0.0810449857234736,0.009644351659666912,0.008477280629987947,6.528507818320491e-07,0.001396042446418073
194,0.3138214242499956,0.2798093526698036,0.1187402943618468,0.1338169424297744,0.0121817495913317,0.0875726059503345,0.009640721478047403,0.008666853886936849,1.5750719629966352e-06,0.001411741002955936
204,0.3468586766429593,0.3070910858447647,0.1130045627709126,0.1290115164927071,0.0111426919067087,0.0933294574637002,0.009524701158613582,0.00888392220826366,2.2250420516025293e-06,0.0014048167911835338
214,0.3829544421327351,0.3378762651488978,0.1075670594206926,0.1245188004742426,0.0102099524859809,0.0982039935843751,0.009425603027021357,0.009111376701931538,2.961016984825792e-06,0.0013822271912487993
224,0.4222709164303985,0.3724253236192315,0.10285256481656,0.120417144079795,0.0093741425678339,0.1022732885137299,0.009310722753539146,0.009276774773150689,3.6990506865510457e-06,0.001355695755786812
234,0.4646598942356439,0.410609887405757,0.0989329774562036,0.1163607214921597,0.0086289649504428,0.1056777102327309,0.00912258155504779,0.009299474990185087,4.2006747569533896e-06,0.001323189395229408
244,0.5096886868461333,0.4518036316708341,0.0948812984371503,0.1122424456010567,0.0079700216812901,0.1086471953722688,0.008834567800419491,0.009117621324276829,4.517369998900683e-06,0.0012875524993028592
254,0.5565116557384675,0.4955055236154123,0.0916172309392923,0.1082932055283763,0.0074044424145849,0.1116241673818552,0.008413654666442172,0.008819657877012388,5.740494803354623e-06,0.0012821841680729679
264,0.6039766902050218,0.5408443345229746,0.089206836181293,0.1045602026192323,0.0069232710928353,0.1147665000362951,0.007858752702929992,0.008382968631362526,6.291143238976505e-06,0.0012763172351795181
274,0.6511248910310095,0.587075870367028,0.0872623366774729,0.1015235800625651,0.0065207476625704,0.1182436471594283,0.0072410380059855966,0.007874882647646606,6.964638625623991e-06,0.0012788695575235496
284,0.6974232545544973,0.6333451908088518,0.086070019082094,0.0996107518835014,0.006188320359228,0.1221098959507495,0.006638488639594111,0.007305545398194738,7.838364068664073e-06,0.0012787042675691568
294,0.7424002532980274,0.6789455360030997,0.0853995303871855,0.0983031328022566,0.0059129233217136,0.1264496637727453,0.006058322117176684,0.006716348039151074,8.282690385667268e-06,0.0012832567335309705
304,0.7849443873505598,0.7230856578580885,0.0853712758957938,0.097468598744227,0.0056868774109742,0.1311490944103633,0.005420018887724339,0.0061044111960040694,8.218391905713057e-06,0.0012705310640262154
314,0.8243392464676151,0.7653042468063413,0.0860159205465599,0.0977673151396783,0.0055074658548184,0.1362402341291298,0.004778961972982197,0.005516575809481446,8.378814272095003e-06,0.0012606935517514972
324,0.8604473361417853,0.8053120693601192,0.0870946195111342,0.0984177963433312,0.005365427433796,0.1415530850734744,0.004196432269298141,0.004967989935326201,8.311810719519069e-06,0.0012345193963938525
