,x,x,R,R,H,H,mu,mu,syn_H,syn_H
104,0.1127621065626768,0.1064440118013138,0.2506555029557717,0.2551318723172024,0.0317593831639952,0.0473776043537169,0.0008072472096455903,0.0007628174376741941,2.7479271722920395e-05,0.0005419104858313038
114,0.1141552718017344,0.1075875226233418,0.2537047830690425,0.2601865759952118,0.0317271483500115,0.0537224446454605,0.0012204125285403087,0.0010628656503518276,3.549672794284113e-05,0.0006915837702409474
124,0.1160100280921833,0.109038022367172,0.2526523983799333,0.2615410660128712,0.0316622826550922,0.0612430288069845,0.0015987896227169973,0.0013302696732207981,4.41347594485638e-05,0.0008335281600705192
134,0.1183748002197829,0.110871415733877,0.248948966467845,0.2615942279142025,0.0315760644004818,0.0696689720490422,0.001997698938633052,0.0016536213185061775,5.445764487801127e-05,0.0009578004216244771
144,0.1212946284816005,0.1130463063288313,0.2444341187861021,0.2598426152467024,0.0314793394976182,0.0788450826401172,0.0024072197576832607,0.001923893549098304,6.610519771112531e-05,0.001069300604976945
154,0.1247628410448197,0.1157007007664343,0.2398605526589316,0.2562517986451583,0.0313946147749679,0.088487575461278,0.0027798441700868995,0.0022941904586744398,7.879966458928833e-05,0.001167256633450578
164,0.1287846277478634,0.1187984690720403,0.2351879207095611,0.2522462353878252,0.0313888421024788,0.0984107152955147,0.003122877919030531,0.002607582681665274,9.74462546568576e-05,0.0012489280603185464
174,0.1334125730686901,0.1223437209790817,0.2290240341809658,0.2487824326473902,0.0315005372007199,0.1084822762970626,0.003468897431761476,0.0028977800239111296,0.00012044164241879387,0.001321513873356825
184,0.1387143482182683,0.126454163294891,0.2236182232803331,0.2425238062859495,0.0317851516577275,0.1185066689044,0.0038220812898430868,0.0032505393327570934,0.00014994687914658534,0.0013876498492015137
194,0.1446823520063749,0.1311179342807404,0.2171646772696371,0.2360076790816778,0.032300342260168,0.1284535592862393,0.004124901002330693,0.0035569283572326965,0.00018475477440864135,0.001451589145796627
204,0.1514627780118728,0.1363290908004191,0.2096175967524586,0.2283820931546973,0.0330831677832253,0.1382724533519087,0.0044766285779905685,0.0038224831465410837,0.00022638360665457323,0.0015104335291354974
214,0.1591494249390137,0.1420603948116486,0.2023875983919623,0.2204442727006165,0.0341827694782332,0.1479665874713487,0.004829830161237746,0.004034413686396098,0.00027505714052139746,0.0015663718375677352
224,0.1677891880043013,0.1483553309836867,0.1949812684920507,0.2131331161098988,0.0356007944763464,0.1572921745107759,0.005149177469686602,0.004243147941027009,0.0003251173086318661,0.0015999726703577804
234,0.1774348013227646,0.15511137431102,0.187425594296601,0.2069358691575818,0.0373418199956087,0.1664516036033662,0.005436145134187828,0.004355607934842035,0.000377098104997076,0.0016409408346810322
244,0.1881247629612277,0.1624565514831953,0.1800674194115926,0.2018833638037821,0.0394146275318866,0.175074788812375,0.0056823787948991605,0.0045213179186159675,0.00043124959732383105,0.001653887300656179
254,0.1997368997316471,0.170396296346154,0.1730652706062664,0.1982839974015546,0.0417766245458533,0.183275027000081,0.005813716336851461,0.0046595759609876705,0.0004790771460174071,0.0016740077288295427
264,0.2122687032956169,0.1789454575857399,0.1660538101853847,0.1953472878432326,0.044282922134552,0.1907648375583879,0.00590374528576515,0.0047775234727540725,0.0005120648516616364,0.0016603645450420073
274,0.2259982085693664,0.1881164845408363,0.1608631943581401,0.1908901634611441,0.0467934260899785,0.1975965993331909,0.006075050488524318,0.004875185169168705,0.0005353228215703011,0.0016464961880276422
284,0.2412765648767637,0.1980984444769242,0.156137384608871,0.1863048206951806,0.0491676553726498,0.2035459553904028,0.006332300161518376,0.005038888600284127,0.0005487672803248396,0.0016205809999718312
294,0.2581000574823349,0.208956581648639,0.15084294174191,0.1817346123526899,0.0513049070375979,0.2088492285107131,0.006518205679486394,0.005196360452513902,0.0005481411029328024,0.0016155831836021399
304,0.2765839862618124,0.2206113861198546,0.1454107611148682,0.177432700298192,0.0531183727857629,0.2134638226116638,0.006682935273765549,0.005282956911790454,0.0005363332219915031,0.00158917958717857
314,0.2968723972265758,0.2331680776537506,0.1409815398595986,0.1736597666555608,0.0545800950354853,0.2175000101044018,0.00683405097755825,0.005385253273195667,0.0005191753768047199,0.0015749113906086188
324,0.3182958920109044,0.2463135806958901,0.1363827990021248,0.1709486609150026,0.0557917317491385,0.2212627834457372,0.0067306852906523365,0.005336897383002817,0.0004966802595892676,0.001557134104061014
334,0.3404747966786924,0.2603706467848238,0.1328544759788661,0.1680775434496228,0.056781422997912,0.2245471251254235,0.006514110555066524,0.005398867446279679,0.00046884959175974594,0.001540734331963969
344,0.3636192742594998,0.2756042050785011,0.1295284150971635,0.1652937121897456,0.0575088670141848,0.2272401309019914,0.00636503046433401,0.005527331591090299,0.00043879009214189914,0.001525332131954864
354,0.3878793810122682,0.2921674308327206,0.1274213023656088,0.1617944474189282,0.0579826610440288,0.2292553488795308,0.006254549207914995,0.005669086970786538,0.00041003480969013415,0.00150119030907001
