Time,OD,OD,OD,OD,OD,OD,RFP,RFP,RFP,RFP,RFP,RFP,GFP,GFP,GFP,GFP,GFP,GFP
Time,p2,p1,p2,p1,p2,p1,p2,p1,p2,p1,p2,p1,p2,p1,p2,p1,p2,p1
420,0.638333333,0.65,0.664666667,0.660333333,0.679,0.673666667,92.33333333,64.33333333,97.66666667,72,114,92,347157.3333,10926,733374,490704.6667,875328.3333,617713.6667
435,0.639666667,0.653,0.663333333,0.664333333,0.682,0.677333333,98.33333333,73,98.33333333,83.66666667,118.3333333,82.33333333,356649,11715.66667,754516.6667,501737,900556.3333,633019.3333
450,0.640666667,0.658,0.664,0.667666667,0.684333333,0.679333333,98,69.33333333,111.6666667,73.33333333,117,93,366236,12222,778195.3333,516556.3333,932960.3333,654900
465,0.641666667,0.660666667,0.666666667,0.671666667,0.684333333,0.681666667,96.66666667,76.33333333,112.3333333,84.66666667,129.6666667,91,376536,13210.33333,797036.6667,529759.6667,958817.3333,674155.6667
480,0.643,0.663666667,0.670666667,0.674333333,0.687666667,0.686333333,111,85.66666667,118,84.33333333,133,103.3333333,385414.3333,13584.33333,816070,542708.6667,983667,692373.3333
495,0.643,0.666666667,0.670666667,0.677,0.693333333,0.689,110.3333333,86.33333333,123.3333333,99.66666667,143,110.6666667,394724.3333,14379.33333,837512,555433,1011081.667,712780
510,0.643666667,0.671,0.674333333,0.681,0.696666667,0.692666667,120.3333333,81.33333333,128,97,140,111,404622.6667,14993.33333,855432,569060.3333,1039118.333,733684.6667
525,0.644,0.675,0.675666667,0.683666667,0.698,0.696333333,133,106,136,103.3333333,151.6666667,124,415613,16111,877372.3333,583369.6667,1066182,755265
540,0.645666667,0.678333333,0.677333333,0.687666667,0.699666667,0.698666667,131.3333333,102.6666667,138.3333333,104.6666667,152,126,426106.3333,16627.66667,900185,595366.6667,1095640.667,775310
555,0.646333333,0.681333333,0.681666667,0.691,0.702333333,0.702666667,144.3333333,115.3333333,144,107.3333333,162.6666667,129.6666667,437239.6667,17493.33333,921503,610374.3333,1128147.333,797656.3333
570,0.646,0.683,0.685666667,0.693666667,0.705333333,0.706,146.3333333,116.6666667,148.6666667,117.6666667,167.6666667,135,446047.6667,18241.33333,948566.3333,624827.6667,1157152,816743.6667
585,0.648,0.685666667,0.688333333,0.697,0.708,0.709666667,149,107,150.6666667,122.3333333,181.6666667,148.3333333,458185,19173,970571.3333,637888.3333,1184792.333,835080.3333
600,0.648666667,0.689666667,0.69,0.700333333,0.710666667,0.712333333,153.6666667,122,157.6666667,132,183,141,467345.6667,19842.66667,996959.3333,652220.6667,1214155,856512.6667
615,0.649333333,0.690333333,0.69,0.702,0.712666667,0.716333333,158.3333333,126.3333333,170.3333333,128.6666667,184.3333333,151.6666667,481055.3333,20427,1017512.333,665756.3333,1251291,879453
630,0.649666667,0.693,0.694333333,0.705666667,0.715,0.72,158.3333333,126.6666667,167.3333333,139.3333333,189.6666667,164.6666667,490845.3333,21084.33333,1037867,679303.6667,1281981.667,900930.3333
645,0.651333333,0.696333333,0.696666667,0.708333333,0.717,0.724333333,166.3333333,138.3333333,172.3333333,143.6666667,207,164.3333333,502280,21928,1067108,694322.3333,1313896.667,923828.6667
660,0.650333333,0.698666667,0.697333333,0.710666667,0.720666667,0.726666667,172,138.3333333,185.3333333,143,202.3333333,169,514794,22667,1091902,707114.3333,1348608.333,943255.3333
675,0.652333333,0.702,0.700666667,0.713333333,0.724,0.729666667,173.3333333,157.3333333,189.6666667,143,210.6666667,182,526508.3333,23414.33333,1114439,720300.3333,1376501.333,966078.3333
690,0.653,0.704666667,0.703666667,0.716666667,0.727,0.732333333,175.6666667,155.3333333,188,149,218.6666667,181.6666667,537759.6667,24274,1142917.333,733752.3333,1409896.333,985246.6667
705,0.653666667,0.708333333,0.705666667,0.719666667,0.730333333,0.737333333,184.3333333,155.3333333,192,152.6666667,223.6666667,189,549544,24974.33333,1167433,749167.3333,1445078,1009341
720,0.654,0.712333333,0.708333333,0.722333333,0.734,0.74,193,165.6666667,204.6666667,172.6666667,228,193,562422,25822,1195016,762151,1483231.333,1030197.333
735,0.656333333,0.715666667,0.712,0.726,0.737666667,0.744,195.3333333,172.3333333,208.3333333,160,236.3333333,206.6666667,575752.6667,26808.33333,1226172,776117.3333,1513656,1053374.333
750,0.658666667,0.719333333,0.716,0.728333333,0.742666667,0.747666667,200,169.6666667,213.6666667,168,238.3333333,197.6666667,589144.6667,27637,1254048,790119.3333,1545075.667,1075628
765,0.66,0.722666667,0.719333333,0.732,0.746333333,0.751333333,208.3333333,183,220.6666667,180,239.6666667,214,601218.6667,28588.66667,1280152,805317.6667,1577559,1096448.667
780,0.661666667,0.724666667,0.722666667,0.734666667,0.750333333,0.754666667,219.6666667,185.3333333,233.6666667,187.6666667,247.6666667,220.6666667,612218.6667,29695,1314227,817763.6667,1615701,1117761
795,0.665,0.728333333,0.724666667,0.737666667,0.753666667,0.757666667,211.6666667,194.6666667,229,184.6666667,259.3333333,214.6666667,626953.6667,30483,1339478.333,831379.6667,1644032,1139429.333
810,0.667,0.730333333,0.730333333,0.740333333,0.756,0.761333333,220,191,240.6666667,194.3333333,261,235.3333333,639433.3333,31657,1368724.333,843030.3333,1680474,1159550.667
825,0.669666667,0.734333333,0.733666667,0.743,0.76,0.765333333,232.6666667,200.6666667,254.3333333,195,273.6666667,236,653743.3333,32574.33333,1398481.333,857517.6667,1716161.667,1177926.667
840,0.671666667,0.735333333,0.736666667,0.747333333,0.762666667,0.768333333,229.3333333,198,258,195.3333333,283.6666667,238,667276.6667,33741.66667,1432079.333,871420.6667,1757984.667,1199646.333
855,0.672333333,0.738,0.740333333,0.750666667,0.767333333,0.772,241.6666667,211,266.6666667,201.3333333,290.3333333,244.3333333,680817.3333,34887.33333,1463117,883917.6667,1788319,1224816.333
870,0.674333333,0.740666667,0.743,0.753,0.770333333,0.774333333,238.3333333,216.6666667,279,214,289.3333333,256.6666667,690881.3333,36094,1490713,898167.3333,1823588,1243902
885,0.673666667,0.743,0.748,0.755333333,0.775333333,0.778,249.3333333,206.6666667,280,216.6666667,294.6666667,261,707359.3333,37126,1526013.667,912379.3333,1866869,1264926.333
900,0.676333333,0.745,0.751666667,0.759,0.778666667,0.780333333,234,221.3333333,287.6666667,218.3333333,308.3333333,265.3333333,721163,38040,1549156,926161.6667,1900129.333,1288666
915,0.676,0.747666667,0.757,0.762,0.782666667,0.785,257,235,287,227,324,268.6666667,734851.6667,39649,1584917,940576.3333,1940493.667,1307770
930,0.678333333,0.750333333,0.759666667,0.765,0.787333333,0.789666667,258.6666667,226.6666667,294,226,317.6666667,279.3333333,749858.3333,40831.33333,1622828.333,954662,1976179.667,1327660.333
945,0.678333333,0.751666667,0.764,0.769,0.791,0.792666667,260,238.6666667,306,240,331.6666667,282,763689.3333,42110.33333,1644003,966720,2019703,1351645.333
960,0.679333333,0.754666667,0.767333333,0.771666667,0.795,0.795666667,265.6666667,255.3333333,321.6666667,235.3333333,345.3333333,283.3333333,779329.6667,43429.33333,1676993.333,982515.6667,2055621.667,1373371.667
975,0.680666667,0.756333333,0.771333333,0.773,0.797333333,0.798666667,274,242.3333333,313.3333333,246.3333333,342.6666667,291,793876.6667,44365.33333,1710787.333,995262.6667,2102581,1388071.667
990,0.681333333,0.758666667,0.774333333,0.776666667,0.801333333,0.803333333,281.6666667,258.3333333,326.3333333,256.3333333,354.3333333,294.6666667,812391.3333,45450.33333,1738669.333,1009137.333,2133514.667,1412788
1005,0.681,0.761333333,0.777,0.779333333,0.805333333,0.807,281,255.3333333,334.3333333,258.6666667,353.3333333,307,825688.3333,47097.33333,1765389.333,1019084.333,2172180.333,1429084.667
